Codice,Nome,Note,Latitude Start,Longitude Start,Latitude End,Longitude End,Length
175,Borest,(Corvara > Colfosco),46.548524,11.870785,46.54976624,11.85708064,"1,056.27"
176,Borest Rit,(Colfosco > Corvara),46.54976624,11.85708064,46.548524,11.870785,"1,056.27"
177,Sodlisia,,46.5499223,11.85571987,46.55011959,11.84532595,794.54
180,Plans,(da Colfosco alla Baita Jimmy 1+2),46.54799144,11.84306111,46.55593611,11.81201493,"2,531.18"
182,Frara,"(2° tratto, conta solo quelli usano solo il 2° tratto)",46.54817403,11.8274467,46.55593611,11.81201493,"1,460.90"
186,Colfosco,(cabinovia che va alla Stella Alpina),46.55031384,11.85333781,46.56238478,11.85087194,"1,354.38"
220,Ciampinoi,,46.55309736,11.76172492,46.5387551,11.75341612,"1,715.42"
221,Dantercepies,,46.55567635,11.7679548,46.55368883,11.79979542,"2,442.85"
222,Costabella,,46.55243847,11.76402775,46.55250487,11.76934925,406.68
225,Larciunei,(campetti Selva),46.55772362,11.76379441,46.55666494,11.76654367,240.75
227,Biancaneve,(campetti Selva),46.55743959,11.7635101,46.55651555,11.76649271,249.94
228,Risaccia,,46.55719435,11.76818521,46.55647869,11.77360865,421.93
232,Cir,,46.55013247,11.80656931,46.55421937,11.80012741,657.79
233,Val Setus,,46.55231529,11.8090524,46.55417826,11.8048306,383.29
234,Panorama,(sciovia),46.55160285,11.79381344,46.55037435,11.79796818,345.57
392,Val,,46.56183893,11.77077706,46.55737843,11.77739185,707.83